domain,count
lusakatimes.com,1283
miningweekly.com,150
miningmx.com,123
times.co.zm,114
diggers.news,110
mining.com,102
china.org.cn,92
allafrica.com,81
marketscreener.com,77
mining-technology.com,62
directorstalkinterviews.com,58
iol.co.za,54
finanznachrichten.de,54
xinhuanet.com,52
daily-mail.co.zm,51
proactiveinvestors.com,41
newsghana.com.gh,38
businesslive.co.za,36
yahoo.com,35
investegate.co.uk:443,35
finance.yahoo.com,34
dailymaverick.co.za,34
business-standard.com,34
business-humanrights.org,33
proactiveinvestors.co.uk,30
cnbcafrica.com,30
af.reuters.com,27
ecofinagency.com,24
miningreview.com,24
investegate.co.uk,24
businessghana.com,24
africanews.com,23
news.xinhuanet.com,23
miragenews.com,23
english.news.cn,23
polity.org.za,22
bignewsnetwork.com,21
reuters.com,21
news24.com,20
znbc.co.zm,20
m.miningweekly.com,18
dw.com,17
lse.co.uk,17
engineeringnews.co.za,16
proactiveinvestors.com.au,16
msn.com,16
theglobeandmail.com,15
hrw.org,15
menafn.com,14
thestar.com.my,14
diamondworld.net,14
faceofmalawi.com,14
modernghana.com,14
news.yahoo.com,14
devdiscourse.com,14
african.business,14
africa.com,13
zawya.com,13
en.people.cn,13
ghanaweb.com,13
uneca.org,13
energycapitalandpower.africa-newsroom.com,13
medafricatimes.com,12
zambiareports.com,12
economictimes.indiatimes.com,12
bizcommunity.com,12
terradaily.com,12
lexology.com,11
theguardian.com,11
voanews.com,9
bulawayo24.com,9
aa.com.tr,9
pambazuka.org,9
africaleader.com,9
scmp.com,9
mondaq.com,9
chinadigitaltimes.net,8
thehindu.com,8
thehindubusinessline.com,8
mg.co.za,8
moneycontrol.com,8
livemint.com,8
leaderpost.com,8
fastmarkets.com,8
swissinfo.ch,8
zambiawatchdog.com,8
news.metal.com,8
globaltimes.cn,7
guardian.ng,7
investingnews.com,7
newbusinessethiopia.com,7
graphic.com.gh,7
mining-journal.com,7
maravipost.com,7
france24.com,7
aljazeera.com,7
rfi.fr,7
africanminingmarket.com,7
dailynews.co.tz,6
