month,count
2016-03-01,30
2016-04-01,53
2016-05-01,45
2016-06-01,51
2016-07-01,49
2016-08-01,84
2016-09-01,64
2016-10-01,56
2016-11-01,58
2016-12-01,81
2017-01-01,59
2017-02-01,30
2017-03-01,58
2017-04-01,32
2017-05-01,56
2017-06-01,131
2017-07-01,27
2017-08-01,111
2017-09-01,63
2017-10-01,226
2017-11-01,32
2017-12-01,58
2018-01-01,54
2018-02-01,73
2018-03-01,78
2018-04-01,72
2018-05-01,50
2018-06-01,84
2018-07-01,76
2018-08-01,48
2018-09-01,102
2018-10-01,82
2018-11-01,82
2018-12-01,47
2019-01-01,187
2019-02-01,110
2019-03-01,60
2019-04-01,96
2019-05-01,119
2019-06-01,129
2019-07-01,122
2019-08-01,151
2019-09-01,57
2019-10-01,74
2019-11-01,115
2019-12-01,47
2020-01-01,41
2020-02-01,50
2020-03-01,42
2020-04-01,68
2020-05-01,89
2020-06-01,93
2020-07-01,49
2020-08-01,39
2020-09-01,53
2020-10-01,74
2020-11-01,37
2020-12-01,23
2021-01-01,74
2021-02-01,36
2021-03-01,34
2021-04-01,19
2021-05-01,34
2021-06-01,34
2021-07-01,49
2021-08-01,41
2021-09-01,58
2021-10-01,43
2021-11-01,41
2021-12-01,44
2022-01-01,38
2022-02-01,50
2022-03-01,65
2022-04-01,44
2022-05-01,70
2022-06-01,48
2022-07-01,28
2022-08-01,27
2022-09-01,34
2022-10-01,40
2022-11-01,19
2022-12-01,53
2023-01-01,74
2023-02-01,67
2023-03-01,52
2023-04-01,83
2023-05-01,121
2023-06-01,62
2023-07-01,37
2023-08-01,96
2023-09-01,124
2023-10-01,87
2023-11-01,54
2023-12-01,203
2024-01-01,73
2024-02-01,134
2024-03-01,56
2024-04-01,109
2024-05-01,38
2024-06-01,59
2024-07-01,74
2024-08-01,109
2024-09-01,125
2024-10-01,111
2024-11-01,80
2024-12-01,140
2025-01-01,126
2025-02-01,109
2025-03-01,133
2025-04-01,75
2025-05-01,74
2025-06-01,33
2025-07-01,65
2025-08-01,170
2025-09-01,220
2025-10-01,64
2025-11-01,72
2025-12-01,89
2026-01-01,73
2026-02-01,116
2026-03-01,23
